User_ID,Country,University,Qualification,Discipline,GPA
358,Germany,none,High school,nothing,none
359,India,Rungta College Of engineering and technology,Be,Information Technology,6.5
360,United States,University of California - Irvine,Undergraduate,Computer Science,3.891
361,Malaysia,"IIUM, Gombak",Degree,English Language and Literature,3.41
362,United States of America,Santa Ana College,Freshman,Business,2.67
363,india,CMR College of Engineering &Technology,MBA,Finance,9
364,Mexico,ISDI,Masters,Digital Business,85
365,United States,Eastfield College,1st year,Photography,3.8
366,Azerbaijan,Baku State University,Bachelor,Tourism and Hotel Management,86
367,india,Government engineering College Kozhikod,UG,chemical engineering,7.25
368,USA,Wright State University,Undergraduate,Anthropology,3.5
369,India,Wilson college,degree,Business management,7.5
370,Philippines,University of Tokyo,Graduate,Geology,2.1
371,Canada,Laurentian university,First year,Mechanical engineering,88
372,Canada,Westmount,Highschool,Bio,3.7
373,perak malaysia,ikm lumut,sijil,sijil teknologi pembentungan dan bekalan air,3.45
374,Malaysia,Cosmopoint college,Diploma,Accounting,3.5
375,Indonesia,Institut Pertanian Bogor,Master degree,Family and Child Development Science,3.74
376,Nepal,Tribhuwan Univeraity,BBS,Management,67%
377,India,velalar college of engineering and technology,medium,Mechanical engineering,7.64
378,India,mitid,masters,design,8
379,Philippines,De La Salle John Bosco College,Grade 11,ABM,Still in K-12 Program
380,india,sgt University,graduate in BSc clinical psychology,graduated,60
381,Tunisie,L'école supérieure des beaux-arts de sousse,Master,Graphic designer /sustainable development,100
382,India,Cluster innovation centre,Graduate,IT,7
383,India,Birla Vishwakarma,Post Graduate,Mechanical Engineering,7.5
384,India,the Aryan international school,class 9th,"science, maths,English, Hindi,social science",85%
385,United States,Stanford,High School,Medicine,4
386,India,Sastra University,Btech,EIE,7.35
387,Kenya,MOI UNIVERSITY,DEGREE,COMMUNITY DEVELOPMENT,50
388,Bangladesh,City college,HSC,Science,4.58
389,Philippines,Tanza National Comprehensive High School- Senior High,Grade 11,Computer Science,89
390,colombia,universidad santo tomas,profesional,derecho,4.1/5.0
391,Brazil,USP,Graduate,Policy Public,8
392,United States,Mott Community College,GED,Social Services,1.68
393,Spain,IES Miguel Hernández,ESO,Bachillerato,9.4
394,United States,Northern Essex Community College,Associates,Respiratory Care,3.8
395,india,delhi,bcom hons,commerce,68
396,India,Delhi University,B.Com/Company Secretary,Company Secretary,60
397,Netherlands,Hoornbeeck College Amersfoort,MBO,IT application developer,100
398,United States of America,University of Central Florida,Btech,Elementary Education,2.5
399,nepal,new horizon,high school,12,2.43
400,Netherlands,Erasmus University Rotterdam,Bachelor,Psychology,7
401,Uganda,parley,school,art and design,50
402,fl,sk,Bachelors,Medicine,5.2
403,india,Terna Engineering college,Second year,Mechatronics Engineering,7
404,Egypt,benha university,BSc,chemistry,2.43
405,Bangladesh,North South University,Bachelor's,Electrical and Electronics Engineering,3.91
406,India,IIT Roorkee,B.Tech. 2nd year,Electrical Engineering,9.488
407,Bangladesh,BUP,MBA,Supply Chain Management,3.77
408,INDIA,"CIPET,BHUBANESWAR",PG,polymer science,7
409,Nigeria,senior secondary scho,ss3,pediatrician,85.36%
410,usa,University of South Carolina- Columbia,masters,athletic training,3.9
411,Sri Lanka,University of Wolverhampton,Bachelor's,Quantity Surveying,62
412,United States,UT Arlington,Bachelor,Architecture,3.14
413,united states,none,11th grade,healthcare and culinary science,3.2
414,Malaysia,Kolej Vokasional Kemaman,Diploma,Teknologi Elektrik,3.74
415,Dubai,Hamdan Bin Mohammed Smart University,Bachelor degree,Business and quality Management,3.49
416,United States Purdueglobal,Purdue University,Bachelor,Science of law,3.8
417,india,East point College of higher education,degree,BCA,54%
418,India,Ritumbar,second year,Accounting and finance,8.45
419,Brasil,UFMS,master's degree,psychology,8
420,India,"Amity University, Noida",Graduation,English,8.69
421,Bangladesh,IUT,2nd Semester,Mechanical Engineering,3.78 out of 4
422,Ghana,Accra Technical Training Centre,high school,electrical engineering,4
423,india,symbiosis institute of international business,master's,MBA(Agribusiness),7
424,USA,kalamazoo college,highschool senior,Pharmacy Technology,1.5
425,India,Rajiv Gandhi university of health sciences,Graduation,Bachelor of Dental surgery,7
426,India,Delhi University du,Bachelors,Computer Vision,88
427,Malaysia,Taylor's University,Bachelor,Banking & Finance,2.9
428,India,Ambedkar Institute Of Advanced Communication Technology And Research,Bachelor of technology,Computer Science,7.43
