Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Harvard Human Rights Program Summer Fellowships 2020,52,31,0,300,211,"[ 0.04032426  0.23076944 -0.26868319 -0.12392278  0.05712222  0.09940393
 -0.31259462 -0.29930152  0.3181472  -0.08408501  0.05169608 -0.15824434
 -0.00278457 -0.04274076  0.23186158 -0.25987766  0.22502731  0.07208784
  0.13087047 -0.07474324  0.18491666  0.34235056  0.10451003  0.0116079
 -0.05845092 -1.11928338 -0.03837469 -0.53882904 -0.25858415  0.03341815
  2.68275093  0.20634866 -0.38704974 -0.83365499 -0.34237632  0.10009156
 -0.17501993  0.01965581 -0.12484676  0.03817126 -0.30874538 -0.204349
  0.27652609  0.2778255   0.05151757 -0.12623465 -0.29792728  0.23763046
 -0.33459445  0.01801081]"
Scholarship For Scientific Excellence 2020,79,62,45,70,22,"[-0.2306819   0.49134336  0.02600922 -0.17210358 -0.02801697  0.06227355
 -0.2450302  -0.39937838  0.13542376  0.08980701  0.21091709 -0.08050202
 -0.01074756 -0.3898395   0.01320571 -0.02190658 -0.09221042  0.35598492
 -0.29854227 -0.07352045  0.50764919  0.14885323  0.04412338 -0.1177354
 -0.01416358 -0.94662312 -0.1021275  -0.61144906 -0.36427663 -0.05395303
  2.52245968  0.11845661 -0.11830619 -0.67230647  0.41373355 -0.00353524
  0.06988508  0.52087188  0.17806773 -0.1680852  -0.05598102 -0.44207491
  0.22376444  0.45643566 -0.37466678 -0.16006209  0.31226399  0.33345795
 -0.10202906  0.14933192]"
MSc by Research funding for EU & UK Students 2020,52,0,38,128,202,"[ 2.85458750e-01  7.38228915e-02  5.99159795e-03 -5.25733309e-02
 -1.72031958e-01  2.23824961e-01 -2.98766670e-01 -2.83336513e-01
  3.14297693e-01  3.04754426e-01  2.05836224e-01  1.49135965e-01
  1.44078558e-01 -9.53749338e-02 -1.40323434e-01  3.65094250e-01
  5.61949655e-01  3.49403423e-01 -5.07673642e-02 -3.52710593e-01
  4.64756426e-01 -2.89189070e-01  2.50443945e-01 -8.97966271e-02
  3.09097686e-02 -5.32181686e-01  8.98085961e-02  1.67118442e-01
  4.13235998e-01  1.73272375e-01  2.07864797e+00 -1.48132672e-02
 -4.58330943e-02 -4.04007128e-01  1.19535860e-01  1.54028222e-01
 -2.89042061e-01  2.68657845e-01  1.73447306e-01  4.73932434e-02
 -7.81926882e-02 -3.13193559e-01 -1.74694308e-03 -6.39855533e-02
  5.15508667e-02  2.15989427e-01 -5.35847081e-02  1.73058471e-01
 -7.66820040e-03 -1.18900237e-01]"
University of Skövde Masters Scholarships 2020,52,0,38,70,177,"[-0.24754043  0.65045819  0.01675012 -0.46640452 -0.17968516  0.09761738
 -0.22558629 -0.15639373  0.11096739  0.14845273  0.18350932  0.0313813
  0.39968742 -0.56347402  0.3850075   0.05610365 -0.03960652  0.23140858
 -0.01603898  0.08432779  0.47103315 -0.15853072 -0.04830133  0.13687599
 -0.26595289 -0.98643211  0.00465342 -0.49771695 -0.56414642 -0.23243873
  2.11839751  0.34862642 -0.14007261 -0.21903027  0.28992562  0.11264134
  0.38195786  0.2143244   0.34343709 -0.20604694  0.11424225 -0.07406859
  0.00534726  0.52635386 -0.56652302 -0.46752209  0.09238323  0.3427257
 -0.10204635  0.06248179]"
Amgen Scholars Asia Program 2020,52,0,45,70,134,"[ 0.1790852   0.3654969  -0.12343895  0.0654917   0.06422208 -0.05256025
 -0.415609   -0.273538    0.12392075  0.04496765  0.15767005 -0.0820694
  0.1391083   0.07058295  0.30153365  0.0965053   0.14471695  0.08817095
  0.14622149 -0.006532    0.397265   -0.0147169   0.04447735  0.24905285
 -0.2256616  -0.88293425  0.0246659  -0.68938595 -0.73702549 -0.00712575
  2.61958766  0.41242015 -0.21305044 -0.68719945 -0.02051045 -0.0489086
 -0.03586102  0.34126655 -0.196744   -0.3184532  -0.30443115 -0.35552941
  0.20738534  0.3531391  -0.064684    0.13830195 -0.2878839   0.37091778
 -0.2486765   0.06888719]"
Danish Diabetes Academy Co-Financed PhDFellowships for International Students 2020,52,8,45,70,62,"[-0.20162487  0.59756826 -0.05175155 -0.09709205 -0.04524087 -0.081784
 -0.23816836 -0.27449239  0.03716529 -0.0682171   0.11913323 -0.08804581
  0.02182554 -0.01389483  0.00376608 -0.10247293  0.22648432  0.26955849
 -0.09376359  0.10212764  0.36084358  0.21466306  0.08914229  0.0667639
 -0.13272994 -0.84376932  0.21815961 -0.66171465 -0.69547484 -0.07160194
  2.26249132  0.24296432 -0.31435974 -0.60458084  0.09583     0.16716355
 -0.04688174  0.42252487  0.18844535 -0.04024671 -0.01996877 -0.24440662
  0.25486884  0.32725242 -0.1188941  -0.04165581  0.04996103  0.26583827
 -0.20015535 -0.06191129]"
International Master Scholarships at CIMI 2020,52,62,38,70,76,"[-0.13877602  0.72193011 -0.02349454 -0.26716809 -0.07057222 -0.1685204
 -0.265062   -0.43582774 -0.06880908 -0.0660258   0.1649108   0.0527202
 -0.03493608 -0.22558683  0.12534795 -0.2212178  -0.04588741  0.25019446
 -0.44918     0.11581224  0.31963102  0.06731733  0.15942373  0.09058789
 -0.1005834  -0.72058022 -0.22534622 -0.67543384 -0.45523447 -0.04078318
  2.43900273  0.06491031 -0.27909562 -0.43581389  0.19045     0.09395196
  0.22335101  0.32119871  0.27193786 -0.02514693  0.18947442 -0.29053411
  0.20626431  0.14031184 -0.27751916 -0.04174831  0.27371535 -0.01389585
 -0.05520342  0.22156626]"
Postdoctoral Fellowship in Animal Studies 2020,52,8,45,70,48,"[-1.25815880e-01  3.31681585e-01 -3.24429116e-01 -2.47092816e-01
  1.31035132e-01  3.18440484e-01 -4.48028123e-02 -6.36624970e-01
  4.82075283e-02 -5.29307082e-02 -4.13452060e-02  9.39811240e-02
  9.24622372e-03 -1.05678256e-01  1.87828279e-01 -8.91777938e-02
  6.08563467e-02  4.11477564e-02  1.45321263e-02 -7.67035891e-02
  2.91321025e-01  1.47531481e-01  1.03693204e-01 -8.57133562e-02
  6.75090336e-02 -1.20351556e+00 -1.72613959e-01 -3.80102468e-01
 -3.17189204e-01  1.35076844e-01  2.52763207e+00  1.29314027e-03
 -2.89404845e-01 -7.58348664e-01 -1.84272896e-01 -1.21676428e-01
 -1.52068444e-01  1.74017109e-01  1.89616618e-01  1.75339970e-02
 -1.61794037e-01 -1.38029199e-01  2.99733187e-01  5.32001180e-01
 -2.06537707e-01  3.64153634e-02  7.98396184e-02  4.91137142e-01
  3.62101675e-02  1.68276077e-01]"
Center for the Study of Contemporary China Postdoctoral Fellows Program 2020-2021,52,31,45,70,211,"[-3.09444622e-02  5.22910940e-01 -8.87238932e-03 -1.64448826e-01
  8.27855466e-02  1.51267852e-02 -2.62284970e-01 -2.98809888e-01
 -2.31935669e-03 -6.27284280e-02  3.50000914e-02 -1.52249282e-01
 -3.06012701e-02 -3.25942140e-02  1.15804047e-01 -2.84196984e-02
 -5.96719975e-03  8.21607564e-03 -2.03585547e-01  1.01273061e-01
  4.27013351e-01  8.03148469e-02  9.98710614e-02 -2.25800848e-01
  2.83934329e-02 -1.08013453e+00 -1.13466798e-01 -5.71251665e-01
 -4.59038885e-01  2.05470304e-01  2.62161621e+00  1.31106503e-01
 -2.51455998e-01 -7.08727663e-01 -2.02478217e-02 -1.39977636e-01
 -1.36921616e-01  3.50551411e-01  1.90518578e-02 -1.39064835e-01
 -2.74021487e-01 -2.59953512e-01  1.82674641e-01  1.31305869e-01
 -2.09700119e-01  3.16967699e-02  9.07598278e-02  3.40459155e-01
 -2.57394228e-01  7.76614887e-02]"
Raoul Berger-Mark DeWolfe Howe Legal History Fellowship Program 2020-2021,52,31,24,70,211,"[-0.16900961  0.50576022 -0.1609914  -0.30707859  0.15145471  0.13251314
 -0.36752932 -0.2551405   0.03721088 -0.12123058  0.00767008 -0.00781008
 -0.02732062 -0.1268423   0.22060157 -0.11614127 -0.01659618  0.00875603
 -0.10587952 -0.00802836  0.39642795  0.13337531  0.00436004 -0.0818523
 -0.02578707 -1.15252867 -0.12645234 -0.64467787 -0.43598935 -0.03806502
  2.57094367  0.04662191 -0.37300957 -0.71193201  0.18503755  0.02196647
  0.04254964  0.43917814  0.15667992 -0.11682781 -0.18332475 -0.23912947
  0.13910895  0.4741355  -0.47589073 -0.10154779  0.21752614  0.28349457
 -0.26468297  0.094212  ]"
Royal Thai Government Scholarships 2020,61,0,24,70,186,"[-2.92695882e-01  5.83285987e-01 -5.70312980e-02 -5.62641936e-02
  6.64469118e-02 -7.98483322e-02 -7.91287082e-02 -5.11806094e-01
 -5.05259222e-02 -1.47711455e-01  2.96479999e-01  1.03865091e-01
  1.26355822e-01 -2.00388698e-01  1.88602237e-02 -6.10634280e-02
  7.60100168e-02  3.95587061e-01 -1.69166467e-01  1.71424507e-01
  2.76125834e-01  9.90206144e-02  1.31011632e-01 -5.57501549e-02
 -5.05462238e-02 -1.01881149e+00  3.85993796e-02 -7.91641337e-01
 -6.99801501e-01  1.07041260e-01  2.82009493e+00  1.18804973e-01
 -3.52609516e-01 -4.75719672e-01  1.91493489e-01  1.30357791e-01
  3.14697284e-03  3.52529426e-01  2.06841114e-01 -2.05131804e-01
  3.70553508e-02 -1.68689481e-01  3.03748265e-01  5.65739918e-02
 -3.27864346e-01  2.47025862e-03  6.84479244e-02  2.09968912e-01
  2.50789198e-02  1.34763611e-01]"
University of Newcastle PhD Fellowships International Students 2020,25,0,45,70,22,"[ 2.66140642e-01  1.91533124e-01  2.33657724e-02  1.17120654e-02
  2.24180061e-01  1.79363203e-01 -1.48850296e-01 -2.76195488e-01
 -1.36818468e-01  1.19852929e-01  2.15090083e-01 -8.65040402e-02
 -1.26713766e-01  3.47992997e-02 -2.21275982e-04  7.06838094e-03
  2.46018977e-01  1.37279273e-01  8.86997018e-02 -3.66214747e-01
  9.56752148e-02  1.56694878e-02  1.37587844e-01  2.65986979e-01
 -1.26501584e-01 -7.63063904e-01 -2.03020745e-01 -2.97159472e-01
 -5.09341521e-02 -4.25821513e-02  2.49369491e+00 -3.14264700e-02
 -2.25630404e-01 -7.51568305e-01  6.36146582e-04 -1.27380929e-02
 -6.04135694e-03  5.79193609e-02 -3.04194084e-01  1.71924082e-01
 -5.29265718e-02 -2.85228871e-01  3.95097866e-02  3.58804808e-01
 -8.62319732e-02 -7.12144082e-02 -1.90101753e-01  1.59682678e-01
 -1.95170212e-01 -4.05383379e-02]"
Danish Government Scholarships for Highly Qualified Students 2020-2021,52,0,38,158,62,"[-0.18472834  0.40507961 -0.393011   -0.38594854  0.12321015  0.15701931
 -0.3346535  -0.39081529 -0.16384381  0.09154224  0.41129647  0.01961333
  0.26829821 -0.13513954  0.1652504  -0.01334295  0.06191128  0.17296814
 -0.02990758  0.11349997  0.47400197  0.30448723  0.15145938  0.22071631
  0.16057324 -1.1552338  -0.2857668  -0.62274749 -0.49649782 -0.04836217
  2.71943792  0.07162292 -0.28949093 -0.66890186  0.10723431  0.16767745
 -0.07822247  0.31062981 -0.03178102  0.13919198  0.04074062 -0.16223831
  0.32467899  0.25912772 -0.10008625 -0.12474227  0.06278483  0.45703621
 -0.07099607 -0.22661447]"
Ernst Mach Grant for Studying at an Austrian University of Applied Sciences 2020,52,74,0,50,25,"[ 0.09716147  0.40718529  0.17091036 -0.25945813  0.07364622  0.16263126
 -0.15801772 -0.330314    0.13663944 -0.22581182  0.1693004  -0.0051224
  0.17181628 -0.2798805   0.43959602  0.00302082 -0.005947    0.03700231
 -0.10563004 -0.08656874  0.27853146 -0.12614421  0.01904307 -0.05410315
 -0.11179608 -1.17568451 -0.09868556 -0.56319537 -0.35640278  0.13429575
  2.74325641  0.30593384 -0.19144131 -0.25245574 -0.03418615 -0.13196081
  0.09031057  0.21233572  0.41901711 -0.15036831 -0.06158608 -0.04947178
  0.56955408  0.26732536 -0.33192118 -0.10784382 -0.12169424  0.36407564
  0.05851652  0.26412995]"
Ahmanson Research Fellowships 2020 for the Study of Medieval and Renaissance Books and Manuscripts,52,31,0,70,211,"[ 0.32544855  0.54417706 -0.33440508 -0.20880566  0.1802106  -0.13491316
 -0.61409751 -0.5230677  -0.2990849   0.02363631 -0.12653615  0.21020757
  0.15357661 -0.37328142  0.24776066 -0.18720836 -0.24548148 -0.11761886
 -0.18086842  0.03552297  0.34763077 -0.07894978 -0.1255328  -0.05640374
 -0.25750672 -0.63298471 -0.61785409 -0.31523372 -0.28159643 -0.21743959
  2.09291495 -0.40714182  0.11333247 -0.21249399  0.11712102  0.20235672
 -0.08281212  0.3037758   0.13822815  0.06683903  0.43602415  0.03459378
  0.2494421   0.0869823  -0.20282622  0.31056698 -0.04284982 -0.17165186
 -0.32501527 -0.17088505]"
Children’s Rights Scholarships 2020,52,31,38,205,129,"[-5.18099010e-02  4.35117042e-01 -2.29644376e-01 -3.42730100e-01
  1.59021246e-01  4.34066341e-02 -3.10781954e-01 -2.46428531e-01
  2.63696145e-01  3.42004232e-02  2.49921823e-01  1.62718989e-01
 -4.81434489e-02 -2.11625018e-01  2.97595020e-01  5.47100509e-02
  9.72150930e-02 -7.07643917e-02  1.53291249e-01 -4.83393964e-02
  3.31415521e-01  3.38789898e-01 -2.52341320e-02  4.84756203e-02
  3.27174569e-02 -1.25150217e+00 -1.31939225e-01 -6.83275990e-01
 -1.73202920e-01 -9.06596494e-02  2.90819501e+00  3.82980539e-01
 -6.12006505e-01 -6.28887251e-01  6.07664515e-02  5.51421489e-02
  2.17424901e-01  6.22698489e-02 -8.31046443e-02 -1.36296523e-01
 -1.61397099e-01 -3.38097904e-01  3.35832123e-01  1.53664151e-01
 -1.38100052e-01  5.71798626e-04 -1.18795025e-01  1.79382377e-01
 -6.69632806e-03  5.01212392e-03]"
University of Hawaii International Scholarships 2020,52,0,14,70,211,"[-5.76741461e-03  6.16557685e-01 -2.62683517e-02 -1.92594332e-01
 -1.05465143e-01 -1.91708987e-01 -4.20276790e-01 -4.19103845e-01
  1.99803961e-01  1.21701067e-02 -3.49901339e-04 -7.61589647e-02
  2.55725052e-01 -3.21898568e-01  8.62430714e-02  1.49868194e-01
  4.92537350e-02  2.41887401e-01  8.84921337e-02 -6.73136324e-02
  3.14067757e-01  9.80845788e-02  4.13271767e-02  2.18162902e-01
 -2.21778179e-01 -1.01023726e+00 -1.81242021e-01 -4.18226932e-01
 -4.72990280e-01 -3.62057178e-01  2.56725983e+00  4.97771498e-01
 -1.62686078e-01 -7.89231931e-01  2.91211920e-01  2.01660422e-01
 -1.80607333e-02  1.76257887e-01  1.03235490e-01 -5.44737364e-02
 -1.93172915e-01 -9.33361208e-02  1.36108131e-01  5.21281260e-01
 -2.21504351e-01 -1.30040166e-01  7.93067372e-02  3.72919792e-01
 -1.39610684e-01  7.82477891e-02]"
Harvard Law School Heyman Fellowship Program 2020,52,0,38,70,211,"[-0.09559423  0.25358551 -0.08059427 -0.28754365  0.14468048 -0.03256295
 -0.49306125 -0.11481271 -0.00654877 -0.14420317 -0.08794918  0.253546
 -0.30873763 -0.24305289  0.19412238 -0.05964878  0.02466201 -0.02167572
 -0.02488771  0.06370415  0.3379318   0.31503417 -0.04542925 -0.20670768
 -0.13499235 -1.28302617 -0.04679171 -0.50070159 -0.33790096  0.05345533
  1.94538768 -0.04423707 -0.3079796  -0.64753196 -0.00882991 -0.12027176
 -0.02683758  0.13667328  0.12063842 -0.14938157 -0.11944476  0.06243887
 -0.01657671 -0.00199416 -0.16877246 -0.03137127 -0.30085545 -0.01750023
 -0.26796371  0.36989257]"
St George’s Postgraduate Scholarship Scheme for International Students 2020,52,31,38,70,202,"[-1.04771418e-01  6.80978241e-01  1.09108741e-02 -3.76185088e-01
  7.00566138e-02  6.50440401e-04 -2.79483252e-01 -3.44571273e-01
 -6.80049728e-02 -2.06699644e-02 -1.13020201e-02  8.68305222e-02
  3.04354066e-02 -3.36767042e-01  2.56081630e-01  4.96691597e-03
  1.84843659e-01 -2.51740364e-02 -2.46704925e-01 -1.43175020e-01
  1.90112932e-01 -8.07449837e-02 -4.67395242e-02  1.31725975e-01
 -5.95500631e-02 -9.63301459e-01 -6.62057444e-02 -5.36305704e-01
 -3.53905662e-01 -3.08554778e-02  2.63875251e+00  3.61679710e-01
 -1.95202893e-01 -3.28338209e-01  2.25476198e-01 -5.78350260e-02
  2.33557070e-01  1.98615582e-01  1.58862169e-01 -2.80487810e-01
  6.12136465e-02 -9.54516324e-02  1.87766028e-01  2.45813313e-01
 -3.33408024e-01  5.46526867e-02  9.89946526e-02  1.46960544e-01
  8.60362483e-02  2.10137539e-01]"
Online Postgraduate Certificate in EU Policy Making 2020,52,31,38,70,24,"[-0.04956067  0.52130844 -0.27343296 -0.20151487 -0.13860364  0.09464806
 -0.16305189 -0.5295058   0.10649669 -0.00746152  0.24212966  0.04462203
 -0.01819459  0.03939396  0.09577263 -0.02619774  0.08144585  0.31504974
 -0.03952797 -0.05117667  0.43925922  0.10303289 -0.09644075  0.14533605
 -0.06312246 -0.68971791  0.1030067  -0.38745604 -0.39455354  0.08208085
  2.53533066  0.15164191 -0.40810787 -0.2983218   0.1606898   0.10506689
  0.12868984  0.29685032 -0.01110176 -0.20323507  0.13623522 -0.34022205
  0.2482547   0.0272497  -0.32520146 -0.05252847  0.39866321  0.50269072
 -0.05132343  0.22744202]"
“Chinese Government Scholarship - Chinese University Program” - Scholarships at the Tianjin University 2020,52,0,24,70,55,"[-5.83551537e-02  3.79699789e-01  3.39673860e-02  3.06401542e-02
 -5.76547611e-02 -1.61083023e-01 -4.13087997e-01 -4.48428748e-01
  2.07671746e-01 -7.96576701e-02  2.59517210e-01 -1.21292013e-02
  1.61019375e-01 -1.65291294e-01  2.08234808e-01 -3.81324048e-02
 -2.56370753e-01  2.24168385e-01  9.88937198e-02  1.17428137e-01
  5.01902036e-01 -6.47219973e-02 -5.23116603e-02  5.72499117e-02
  5.28347983e-04 -1.24681730e+00 -3.56059605e-02 -6.85863104e-01
 -5.65965887e-01 -1.84549097e-01  2.92427115e+00  1.04888936e-02
 -4.00931116e-01 -7.05607537e-01  4.45325214e-02  1.06439648e-01
  1.60630122e-01  3.67506479e-01 -9.68286950e-02 -1.05473802e-01
 -3.73806339e-02 -3.65589884e-01  2.59035924e-01  2.63506365e-01
 -2.47400467e-01 -1.18681769e-01  3.07606520e-02  3.97039559e-01
 -1.24428096e-02  5.34427666e-02]"
International Doctoral Fellowships at CIMI 2020,52,62,24,70,76,"[ 0.13620957  0.3783957  -0.28371062  0.01479519 -0.29792131 -0.35244705
 -0.0373314  -0.32479026 -0.17964795 -0.14940859  0.41923645  0.16696704
 -0.16060547 -0.22518106  0.03721505 -0.27671861 -0.0315871   0.09649644
 -0.3564656   0.1037073  -0.05144383  0.04374618  0.31516489  0.18741105
 -0.17325548 -0.3208492  -0.10212435 -0.38200703 -0.46543859  0.06080653
  1.94662468 -0.12851702 -0.41685251 -0.2913607  -0.09212406 -0.09902687
  0.10028961  0.20233029  0.40000159  0.14008186  0.38930926 -0.32414938
  0.46444765 -0.20423126 -0.20191301  0.02798043  0.15040743 -0.0628265
  0.28571921  0.23370947]"
Vector Scholarship In Artificial Intelligence 2020-2021,79,62,38,175,48,"[-3.76668341e-02  4.25918162e-01  4.41127327e-02 -1.55550038e-01
  1.41093111e-01  1.00678461e-01 -2.88851502e-01 -3.82231535e-01
  1.39176063e-01  1.88147935e-03  8.48973140e-02 -1.13423320e-01
  8.43168039e-02 -1.06599502e-01  8.66691335e-02 -1.13497928e-01
  3.74787758e-02  2.20023709e-01 -1.52751700e-01 -6.48067128e-02
  3.43283935e-01  8.88604396e-03  9.27824873e-02 -4.44738867e-02
 -1.15003501e-01 -9.62133390e-01 -1.06414353e-01 -4.93623735e-01
 -4.18296983e-01 -5.60814482e-02  2.48504284e+00  1.67369624e-01
 -3.15399126e-01 -6.82853929e-01  1.66973663e-01  1.63840209e-02
  7.08608212e-02  3.49008483e-01  7.26117842e-02 -2.15408370e-01
 -1.45039571e-01 -2.60227180e-01  6.81984836e-02  1.94422980e-01
 -3.03074480e-01 -8.86300162e-02  8.18895732e-02  2.65918144e-01
 -5.85873666e-02  1.88356999e-01]"
Leiden University Oort Scholarship Program 2020,52,74,10,70,129,"[-0.30292033  0.81611405 -0.16069247 -0.29337727  0.13845652 -0.09009223
 -0.07057161 -0.39552535 -0.1182994   0.17117896  0.45454296  0.269498
  0.057552   -0.16583572  0.01642655  0.05182805  0.04694147  0.47042861
 -0.38608388  0.19967763  0.34568091  0.27146168  0.05986467 -0.11569033
  0.08671081 -1.20255526 -0.23905286 -0.64239107 -0.60711085 -0.06974454
  2.27605419  0.06607595 -0.42481945 -0.79284767  0.13346436  0.05372761
  0.0027547   0.45922159  0.48338142 -0.07286023  0.1973539  -0.1548801
  0.15308664  0.3204917  -0.41500572 -0.05385457  0.35089855  0.23062207
 -0.12430325  0.02272713]"
Harvard Law School Program on Corporate Governance Fellowship Program 2020,52,31,38,70,211,"[-0.05700026  0.30087576  0.0371937  -0.29882074 -0.10030742  0.08220946
 -0.29968106 -0.31207601 -0.02187309 -0.10170734 -0.08999123  0.05265674
 -0.06521398 -0.0504385   0.15868641 -0.03179345  0.03722766  0.09196986
  0.10309095 -0.04651639  0.39451376  0.08432353  0.05473032 -0.04521391
 -0.13254299 -1.11973192  0.06970086 -0.5927704  -0.3705945   0.15852276
  2.61444064  0.22771624 -0.35251575 -0.69731815  0.14119962  0.07235386
 -0.0467667   0.33544664  0.09215637 -0.25188133 -0.26633104 -0.19501392
  0.16297729  0.44354089 -0.33584871 -0.17313866  0.04409534  0.42866106
 -0.07086596  0.27638653]"
University of Warwick Early Career Innovation Fellowships 2020,52,0,24,70,202,"[ 0.10249598  0.31733526 -0.07750704 -0.13183645  0.0283582   0.11159188
 -0.32941187 -0.34389984  0.06000227  0.05285929  0.11058016 -0.02405859
 -0.03652023 -0.06772914  0.13375224 -0.09757677  0.0866232  -0.0460868
 -0.00498471 -0.11039452  0.38018033  0.00790343  0.04546368 -0.12831747
 -0.03857577 -0.70357072 -0.06696068 -0.46916914 -0.22030054  0.17736687
  2.71094018  0.14308272 -0.04840224 -0.51746543  0.0176205  -0.01816045
 -0.05565841  0.27408922  0.05869693 -0.13167974 -0.20472402 -0.32436915
  0.22068525  0.12847465 -0.19449461 -0.08372045  0.00929804  0.33246635
 -0.03719464  0.12279099]"
"Postdoctoral Research Fellowships 2020 in Modern Greek Studies, Byzantine Studies, or Late Antique Studies",52,31,45,70,211,"[-8.06840004e-02  7.30821384e-01 -3.70781088e-01 -1.80521692e-01
  2.02772581e-02  2.03222780e-01 -3.51180549e-01 -4.75751988e-01
 -6.01660148e-02 -8.77308228e-02  2.65676273e-01  9.28046975e-02
  1.83033755e-01 -2.86353534e-02  2.76561087e-02 -1.96725623e-01
  4.47659963e-02  1.54380342e-01 -2.97538971e-01  2.64509624e-01
  3.61954539e-01  1.16642953e-01  1.30719328e-01 -1.20827220e-01
  1.42233014e-02 -7.35213124e-01 -2.36154326e-01 -8.34631263e-01
 -8.72158191e-01 -1.60818311e-01  2.00175223e+00 -9.72939587e-02
 -2.28796936e-01 -6.79717289e-01 -6.79682173e-02 -1.43387007e-03
 -6.69628045e-02  5.02258416e-01  3.48209891e-01  7.27757780e-02
  1.20816502e-01 -3.32054971e-01  2.40792180e-01  2.77053941e-01
 -1.19392458e-01  2.95615118e-02  2.22031539e-01  1.64247079e-01
 -4.82234458e-01  6.69117621e-02]"
